ID,Title,Author(s),Source,Journal,Language(s),Publication year
S0101-28002025000400314-scl,Nephrologists’ perceptions of competencies acquired during medical residency in Nephrology and their applicability to daily clinical practice,"Pereira, Mariana Batista, Eloy, Patrícia Oliveira Costa, Bastos, Kleyton de Andrade",Brazilian Journal of Nephrology; 47(4); -,Brazilian Journal of Nephrology,"Inglês, Português",2025
S0101-28002025000300305-scl,The impact of chronic kidney disease on health-related quality of life (HRQoL): key insights from a hospital-based cross-sectional study,"Sahu, Gautam, Arora, Pooja, Tiwari, Pramil, D’Cruz, Sanjay, Tahlan, Anita",Brazilian Journal of Nephrology; 47(3); -,Brazilian Journal of Nephrology,Inglês,2025
S0103-11042025000200207-scl,Matriciamento em saúde mental: a perspectiva dos profissionais de Centros de Atenção Psicossocial,"Silva, Daniela Cristine Morais da, Dubeux, Luciana Santos",Saúde em Debate; 49(145); -,Saúde em Debate,Português,2025
S1413-81232025000500900-scl,Fatores associados à Capacidade Antioxidante Total da Dieta da população brasileira,"Silva, Mariane Alves, Suhett, Lara Gomes, Bezerra, Ilana Nogueira, Machado, Soraia Pinheiro",Ciência & Saúde Coletiva; 30(5); -,Ciência & Saúde Coletiva,Português,2025
S1413-81232025000400909-scl,Cuidado às pessoas vivendo com HIV na atenção especializada: uma análise à luz da vulnerabilidade programática,"Silvério, Rafaela Fidelis Lima, Silva Júnior, Aluísio Gomes da, Silva, Drieli Oliveira, Almeida, Patty Fidelis de",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,"Português, Inglês",2025
S1413-81232025000400901-scl,"Adesão à alimentação escolar em estudantes do 9º ano da rede municipal de ensino da cidade de Pelotas, RS, Brasil","Viana, Manuela Ferreira, Linhares, Angélica Ozório, Mintem, Gicele Costa, Muniz, Ludmila Correa, Kaufmann, Cristina Corrêa, Bielemann, Renata Moraes",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Português,2025
S1413-81232025000400905-scl,Fatores associados à qualidade da dieta de trabalhadores de saúde durante o enfrentamento da pandemia de COVID-19,"Goularte, Laura Moreira, Flesch, Betina Daniele, Carvalho, Maitê Peres de, Szortyka, Ana Laura Sica Cruzeiro, Delpino, Felipe Mendes, Fassa, Anaclaudia Gastal",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Português,2025
S1413-81232025000400902-scl,The food retail environment around schools in a low-income Brazilian city: a street audit evaluation,"Costa, Gabriel M. A., Vidal, Nicole A. C., Almeida, Nykholle B., Aragão, Luan S., Menezes, Rísia C. E., Longo-Silva, Giovana, Silveira, Jonas A. C.",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Inglês,2025
S1413-81232025000400913-scl,O que uma UBS pode oferecer às pessoas LGBTI+?,"Miskolci, Richard, Oliveira, Fernando Sanches de, Teixeira, Flávia do Bonsucesso, Deslandes, Keila, Pereira, Pedro Paulo Gomes",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Português,2025
S1413-81232025000400900-scl,Assistência pré-natal entre adolescentes no extremo Sul do Brasil: um estudo de tendência secular,"Cesar-e-Silva, Affonso Henrique A., Michelon, Isabella F., Marmitt, Luana P., Cesar, Juraci A.",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,"Português, Inglês",2025
S0101-28002025000200305-scl,Nutritional counseling tailored to the patient’s learning type and its impact on interdialytic weight gain in chronic hemodialysis patients,"Almeida, Naiane Rodrigues de, Pellizzari, Caio, Leinig, Cynthia, Nerbass, Fabiana, Moraes, Thyago Proença de",Brazilian Journal of Nephrology; 47(2); -,Brazilian Journal of Nephrology,"Português, Inglês",2025
