ID,Title,Author(s),Source,Journal,Language(s),Publication year
S0034-76122022000600694-scl,The myth of meritocracy: academicism and methodological flaws in Brazilian public recruitment,"Oliveira, Antonio Batista da Silva, Castro Junior, Joel de Lima Pereira, Montalvão, Sergio de Sousa",Revista de Administração Pública; 56(6); 694-720,Revista de Administração Pública,"Inglês, Português",2022
S1414-462X2022000400606-scl,Desafios dos laboratórios públicos da área de saúde ambiental para implantação e manutenção dos requisitos de normativas da qualidade para monitoramento da água de consumo humano,"Rodrigues, Elô de Oliveira, Rodrigues, Janaína Marques, Borges, Paulo Paschoal, Sena, Rodrigo Caciano de, Almeida, Marcelo Dominguez de",Cadernos Saúde Coletiva; 30(4); 606-614,Cadernos Saúde Coletiva,Português,2022
S0101-31572022000401043-scl,Measuring human capital: methodological framework for assessing competitiveness and economic development,"KORYAKOV, ALEXEY, KAZARYAN, IRINA, AFONASOVA, MARGARITA, LITVIN, IRINA",Brazilian Journal of Political Economy; 42(4); 1043-1061,Brazilian Journal of Political Economy,Inglês,2022
S1414-462X2022000400507-scl,A Política Nacional de Educação Permanente em Saúde e sua relação com a odontologia,"Almeida, Janaína Rocha de Sousa, Bizerril, Davi Oliveira, Saldanha, Kátia de Gois Holanda, Forte, Franklin Delano Soares, Almeida, Maria Eneide Leitão de",Cadernos Saúde Coletiva; 30(4); 507-516,Cadernos Saúde Coletiva,Português,2022
S2179-89662022000402340-scl,Acesso ao ensino superior: efetividade normativa das cotas socioeconômicas,"Brito, Lauro Gurgel de, Sousa, Francisco Cavalcante de, Santos, Tharleton Luis de Castro",Revista Direito e Práxis; 13(4); 2340-2373,Revista Direito e Práxis,Português,2022
S0101-28002022000400573-scl,Profile of professionals working in intradialytic exercise programs in Brazil: a national survey Brazil,"Barros, Fabrício Sciammarella, Pinheiro, Bruno Valle, Ribeiro, Heitor Siqueira, Andrade, Francini Porcher, Souza, Camila Rodrigues de, Amorim, Amanda Cruz do Nascimento, Lucinda, Leda Marília Fonseca, Reboredo, Maycon Moura",Brazilian Journal of Nephrology; 44(4); 573-578,Brazilian Journal of Nephrology,Inglês,2022
S0102-09352022000601007-scl,Demographics and health care profiles of dogs and cats associated with the socioeconomic profile of their tutors in areas assisted by Family Health Strategies in Brazil,"Felipetto, L.G., Fernandes, F.D., Vogel, F.S.F., Flores, E.F., Botton, S.A., Sangioni, L.A.",Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 74(6); 1007-1016,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,Inglês,2022
S0104-40362022000401023-scl,Canadian Higher Education System: Evaluation of the HEQCO Agency for the development of Education in the province of Ontario,"Costa, Danilo de Melo",Ensaio: Avaliação e Políticas Públicas em Educação; 30(117); 1023-1046,Ensaio: Avaliação e Políticas Públicas em Educação,Inglês,2022
S0104-40362022000400920-scl,Conceptions and assessment practices in Rio de Janeiro municipal schools,"Almeida, Andréa Baptista de, Rosistolato, Rodrigo Pereira da Rocha, Cerdeira, Diana Gomes da Silva",Ensaio: Avaliação e Políticas Públicas em Educação; 30(117); 920-941,Ensaio: Avaliação e Políticas Públicas em Educação,Inglês,2022
S0103-636X2022000300944-scl,Por uma Educação Matemática Desviante das (Cis-hetero) normas: o que dizem as pesquisas envolvendo pessoas LGBTI+?,"Guse, Hygor Batista, Esquincalha, Agnaldo da Conceição",Bolema: Boletim de Educação Matemática; 36(74); 944-970,Bolema: Boletim de Educação Matemática,Português,2022
S0104-40362022000400871-scl,Avaliação educacional: um olhar sobre a produção acadêmica na revista Ensaio (2009–2020),"Araújo, Maria de Lourdes Haywanon Santos, Oliveira, Hérica Luar da Silva, Santos, Ana Clara Almeida dos",Ensaio: Avaliação e Políticas Públicas em Educação; 30(117); 871-896,Ensaio: Avaliação e Políticas Públicas em Educação,Português,2022
